lat,long,max_temp,humidity,clouds,wind,country,date
-33.5906,26.891,29.034,82,78,5.23,ZA,1620448139
-54.8,-68.3,28.014999999999997,81,75,1.19,AR,1620448055
-22.8167,47.8333,29.242,83,35,2.99,MG,1620448139
-38.0023,-57.5575,28.426,100,1,3.66,AR,1620448078
19.7297,-155.09,29.814999999999998,69,90,4.15,US,1620448104
-38.5473,-58.7368,28.172000000000004,89,1,4.32,AR,1620448139
-34.7333,135.8667,29.097,67,72,4.94,AU,1620448140
42.3709,-71.1828,28.093,75,1,1.54,US,1620448065
-46.1927,168.8643,28.648000000000003,87,100,2.24,NZ,1620448140
17.0151,54.0924,30.214999999999996,79,75,2.06,OM,1620448140
66.7697,123.3711,27.617,60,86,2.46,RU,1620448141
-16.1,46.6333,29.714999999999996,83,40,3.09,MG,1620448141
58.3807,12.3234,27.314999999999998,93,13,1.54,SE,1620448141
77.484,-69.3632,26.832,94,100,3.73,GL,1620448142
-53.15,-70.9167,27.814999999999998,87,0,4.12,CL,1620447853
-0.7393,-90.3518,29.758999999999997,93,2,1.79,EC,1620448142
57.3064,88.1667,28.258,56,97,5.21,RU,1620448142
-21.2078,-159.775,29.714999999999996,73,75,3.6,CK,1620448142
28.3667,129.4833,29.615,100,75,2.06,JP,1620448143
-42.8794,147.3294,29.214999999999996,42,40,6.17,AU,1620448143
-20.5167,57.5167,29.615,83,40,3.6,MU,1620448143
62.456,-114.3525,28.014999999999997,45,75,5.66,CA,1620448144
64.5011,-165.4064,28.214999999999996,46,1,4.63,US,1620448144
-23.1203,-134.9692,29.911,78,13,5.03,PF,1620448144
-30.1811,-50.2056,28.857999999999997,70,63,2.27,BR,1620448145
-20.4081,57.7,29.615,83,40,3.6,MU,1620448145
-33.65,115.3333,29.204,72,90,0.89,AU,1620448145
42.6001,-73.9662,28.371,61,100,2.28,US,1620448117
-34.0033,24.7314,28.871,92,95,0.89,ZA,1620448146
43.919,46.7102,28.841,69,4,3.16,RU,1620448146
41.3712,-73.414,28.314999999999998,66,90,2.06,US,1620448146
-33.918,25.5701,28.915,88,75,3.6,ZA,1620448147
20.9,70.3667,30.464999999999996,53,10,3.9,IN,1620448147
18.4667,-102.4167,29.1,84,69,1.89,MX,1620448147
-22.9575,14.5053,28.648000000000003,94,0,1.79,NA,1620448147
58.3019,-134.4197,28.214999999999996,81,90,2.06,US,1620448148
42.097,-79.2353,27.593,93,1,7.2,US,1620447896
-3.3836,-57.7186,29.683999999999997,95,100,1.09,BR,1620448148
68.1214,13.5031,27.6,71,100,4.15,NO,1620448148
22.8909,-109.9124,29.714999999999996,41,40,6.25,MX,1620448149
